prices,market_cap,time,volumes
18977.818414279067,364211574590.58136,2022-10-21 09:02:24.620,24702740742.40958
19001.398886231764,364402979735.7016,2022-10-21 10:00:08.795,25243734536.02091
18983.653149999704,364112016812.11523,2022-10-21 11:00:08.253,25131913790.410744
18957.66784989103,364305657019.35376,2022-10-21 12:01:19.449,25001385289.95847
18788.33090984761,360605146510.10144,2022-10-21 13:01:28.170,26057563288.4342
18995.590029045874,364344945656.54456,2022-10-21 14:02:23.084,27667270527.996407
19008.95035584781,364702960935.9197,2022-10-21 15:01:23.822,29389506509.492336
19093.96376768533,365768145392.09436,2022-10-21 16:00:38.591,30383332034.88771
19166.050380261637,367710005325.45215,2022-10-21 17:01:26.553,31665527272.991768
19140.93115709804,367778889287.3735,2022-10-21 18:00:23.093,31638052749.727734
19140.648902301014,367252624096.46533,2022-10-21 19:02:56.923,31044889283.69926
19217.74515555127,368650644146.73804,2022-10-21 20:00:40.468,31090531984.105095
19169.904447890876,368183048648.5691,2022-10-21 21:01:09.990,30848742883.99918
19149.043460326095,367604920950.887,2022-10-21 22:02:07.974,30724365432.142796
19185.608127888943,367971108116.1842,2022-10-21 23:01:06.473,30495697411.50103
19173.28046885863,367999082249.1525,2022-10-22 00:01:23.098,30297335038.197
19162.456197530275,367662658808.4689,2022-10-22 01:00:24.344,29864114600.378365
19159.096331560944,367534658267.7491,2022-10-22 02:00:44.964,29621697459.028214
19122.754394367166,367564061477.59924,2022-10-22 03:01:45.665,29368236001.89563
19140.467403715713,367177027449.6305,2022-10-22 04:00:27.424,29376124296.201786
19153.367012398685,367470851232.97864,2022-10-22 05:02:02.076,29176454560.919147
19147.978338144996,367367606583.21606,2022-10-22 06:01:32.062,29056544192.65224
19147.912718461987,367350744204.23206,2022-10-22 07:01:24.869,28866311580.087368
19162.857528130895,367602273631.3434,2022-10-22 08:00:28.479,28339124969.36318
19162.393431006658,367667041351.79315,2022-10-22 09:00:05.882,27791101502.49163
19167.653121749103,367829623856.49347,2022-10-22 10:01:06.491,27014744255.0649
19164.461945980023,367707643401.84814,2022-10-22 11:02:15.936,26440046201.82634
19186.278943226564,368181237839.7035,2022-10-22 12:00:40.143,26182779621.993347
19194.7968175857,368340702699.9997,2022-10-22 13:01:19.752,24041061092.79651
19195.10241194606,368889248937.08826,2022-10-22 14:00:15.035,21903049081.50943
19223.491491827943,368744073189.691,2022-10-22 15:00:58.982,19251963172.18883
19226.74239657363,368902573030.8513,2022-10-22 16:01:03.656,17888189206.18971
19184.3925726527,368038018500.43134,2022-10-22 17:00:37.514,16155520797.058905
19152.182141188052,368209376485.49146,2022-10-22 18:04:27.787,15280677673.033304
19176.601906953063,367743593411.6037,2022-10-22 19:01:28.604,14761857330.14552
19180.35493030478,368068202741.61346,2022-10-22 20:01:27.957,14042738900.038261
19197.31005212439,368286510741.6766,2022-10-22 21:02:28.634,13610563734.677633
19211.553782510684,368673800732.0904,2022-10-22 22:02:46.199,13532787736.316393
19202.461867913724,368223143026.9829,2022-10-22 23:01:54.624,13489887600.984127
19203.86547117714,368484939423.55475,2022-10-23 00:02:04.207,13362526957.65784
19205.37843987457,368658099017.87103,2022-10-23 01:00:01.230,13238544968.912422
19177.46653603603,367969234459.5741,2022-10-23 02:01:41.077,13197250984.452202
19205.026756695916,368349043371.99945,2022-10-23 03:01:39.900,13261352130.591265
19199.11037110921,368278360366.446,2022-10-23 04:02:17.284,13054549657.155508
19184.737271874732,368595494216.7902,2022-10-23 05:02:14.628,12994171826.97048
19184.678527629098,368167208339.9285,2022-10-23 06:02:19.726,13143242261.454412
19176.899822720254,367929841015.5666,2022-10-23 07:00:23.759,13220814642.974047
19166.7414759112,367627877716.7068,2022-10-23 08:02:00.148,13215522041.192806
19179.277823313994,367983590278.5434,2022-10-23 09:02:19.742,13205266202.101297
19182.56114475555,368034143966.6803,2022-10-23 10:00:34.562,13124457804.206541
19171.79783203801,367802119442.4046,2022-10-23 11:00:25.479,13159730187.689598
19152.052327033176,367525200481.1191,2022-10-23 12:01:21.317,13299641964.760315
19136.440929811495,367049272824.5139,2022-10-23 13:02:29.425,13434043593.443148
